"","query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order"
"13","Fetal B Cells",TRUE,5.65888348007596e-75,135,344,68,0.197674418604651,0.503703703703704,"GO:0070972","GO:BP","protein localization to endoplasmic reticulum",16038,19336
"14","Fetal B Cells",TRUE,6.04322138625369e-69,179,345,71,0.205797101449275,0.396648044692737,"GO:0006413","GO:BP","translational initiation",16038,2437
"15","Fetal B Cells",TRUE,5.25636809508533e-67,189,344,71,0.206395348837209,0.375661375661376,"GO:0006612","GO:BP","protein targeting to membrane",16038,2618
"16","Fetal B Cells",TRUE,1.43717769899061e-65,207,355,73,0.205633802816901,0.352657004830918,"GO:0000956","GO:BP","nuclear-transcribed mRNA catabolic process",16038,338
"17","Fetal B Cells",TRUE,5.64620973721388e-65,176,344,68,0.197674418604651,0.386363636363636,"GO:0019083","GO:BP","viral transcription",16038,6495
"18","Fetal B Cells",TRUE,1.02497454178837e-61,193,344,68,0.197674418604651,0.352331606217617,"GO:0019080","GO:BP","viral gene expression",16038,6492
"19","Fetal B Cells",TRUE,2.52352070176987e-56,308,344,76,0.22093023255814,0.246753246753247,"GO:0090150","GO:BP","establishment of protein localization to membrane",16038,21370
"20","Fetal B Cells",TRUE,1.07992931639623e-49,361,355,76,0.214084507042254,0.210526315789474,"GO:0006402","GO:BP","mRNA catabolic process",16038,2427
"21","Fetal B Cells",TRUE,1.35528324231029e-47,397,355,77,0.216901408450704,0.193954659949622,"GO:0006401","GO:BP","RNA catabolic process",16038,2426
"22","Fetal B Cells",TRUE,2.427928234345e-44,395,344,73,0.212209302325581,0.184810126582278,"GO:0006605","GO:BP","protein targeting",16038,2611
"23","Fetal B Cells",TRUE,1.29021510037808e-43,475,345,78,0.226086956521739,0.164210526315789,"GO:0016032","GO:BP","viral process",16038,5689
"24","Fetal B Cells",TRUE,1.75225877725201e-41,507,355,79,0.222535211267606,0.155818540433925,"GO:0034655","GO:BP","nucleobase-containing compound catabolic process",16038,10079
"25","Fetal B Cells",TRUE,7.16429241904078e-40,532,345,78,0.226086956521739,0.146616541353383,"GO:0044403","GO:BP","symbiotic process",16038,12878
"26","Fetal B Cells",TRUE,4.96765048203128e-39,546,355,79,0.222535211267606,0.144688644688645,"GO:0046700","GO:BP","heterocycle catabolic process",16038,14427
"27","Fetal B Cells",TRUE,6.5480472580833e-39,548,355,79,0.222535211267606,0.144160583941606,"GO:0044270","GO:BP","cellular nitrogen compound catabolic process",16038,12810
"28","Fetal B Cells",TRUE,1.03765689956742e-38,637,345,83,0.240579710144928,0.130298273155416,"GO:0006412","GO:BP","translation",16038,2436
"29","Fetal B Cells",TRUE,4.31534177297114e-38,562,345,78,0.226086956521739,0.138790035587189,"GO:0019439","GO:BP","aromatic compound catabolic process",16038,6730
"30","Fetal B Cells",TRUE,2.06870252164545e-37,662,345,83,0.240579710144928,0.125377643504532,"GO:0043043","GO:BP","peptide biosynthetic process",16038,12201
"31","Fetal B Cells",TRUE,3.6015192362101e-37,563,344,77,0.223837209302326,0.136767317939609,"GO:0072657","GO:BP","protein localization to membrane",16038,20566
"32","Fetal B Cells",TRUE,1.38154584555789e-36,589,345,78,0.226086956521739,0.132427843803056,"GO:1901361","GO:BP","organic cyclic compound catabolic process",16038,24677
"33","Fetal B Cells",TRUE,1.49851894977069e-36,498,350,73,0.208571428571429,0.146586345381526,"GO:0072594","GO:BP","establishment of protein localization to organelle",16038,20545
"34","Fetal B Cells",TRUE,3.5283463529443e-32,796,345,84,0.243478260869565,0.105527638190955,"GO:0006518","GO:BP","peptide metabolic process",16038,2526
"35","Fetal B Cells",TRUE,1.23906040236341e-31,789,345,83,0.240579710144928,0.105196451204056,"GO:0043604","GO:BP","amide biosynthetic process",16038,12533
"36","Fetal B Cells",TRUE,5.7521695166474e-30,769,345,80,0.231884057971014,0.104031209362809,"GO:0016071","GO:BP","mRNA metabolic process",16038,5718
"37","Fetal B Cells",TRUE,1.28848571231309e-28,1519,345,110,0.318840579710145,0.0724160631994733,"GO:0044419","GO:BP","interspecies interaction between organisms",16038,12890
"38","Fetal B Cells",TRUE,2.58040450022056e-27,826,350,80,0.228571428571429,0.0968523002421307,"GO:0033365","GO:BP","protein localization to organelle",16038,9468
"39","Fetal B Cells",TRUE,9.00257363697158e-25,1014,350,85,0.242857142857143,0.0838264299802761,"GO:0006886","GO:BP","intracellular protein transport",16038,2863
"40","Fetal B Cells",TRUE,2.70118149279238e-24,1070,345,86,0.249275362318841,0.0803738317757009,"GO:0044265","GO:BP","cellular macromolecule catabolic process",16038,12807
"41","Fetal B Cells",TRUE,3.38468062872944e-24,1046,346,85,0.245664739884393,0.0812619502868069,"GO:0043603","GO:BP","cellular amide metabolic process",16038,12532
"42","Fetal B Cells",TRUE,3.73169811977232e-23,1479,344,100,0.290697674418605,0.0676132521974307,"GO:0015031","GO:BP","protein transport",16038,5392
"43","Fetal B Cells",TRUE,1.21737077771406e-22,1261,357,93,0.260504201680672,0.0737509912767645,"GO:0009057","GO:BP","macromolecule catabolic process",16038,3695
"44","Fetal B Cells",TRUE,2.59459859150992e-22,1516,344,100,0.290697674418605,0.0659630606860158,"GO:0015833","GO:BP","peptide transport",16038,5545
"45","Fetal B Cells",TRUE,9.74606143827409e-22,1542,344,100,0.290697674418605,0.0648508430609598,"GO:0042886","GO:BP","amide transport",16038,12117
"46","Fetal B Cells",TRUE,2.64076681606584e-21,1562,344,100,0.290697674418605,0.0640204865556978,"GO:0045184","GO:BP","establishment of protein localization",16038,13274
"47","Fetal B Cells",TRUE,9.50861983580346e-21,90,341,27,0.0791788856304985,0.3,"GO:0002181","GO:BP","cytoplasmic translation",16038,865
"48","Fetal B Cells",TRUE,3.8551113839594e-18,1780,344,102,0.296511627906977,0.0573033707865169,"GO:0071705","GO:BP","nitrogen compound transport",16038,19851
"49","Fetal B Cells",TRUE,4.82556745821326e-17,1572,344,93,0.270348837209302,0.0591603053435115,"GO:0046907","GO:BP","intracellular transport",16038,14564
"50","Fetal B Cells",TRUE,2.20938339206642e-15,257,339,35,0.103244837758112,0.136186770428016,"GO:0042254","GO:BP","ribosome biogenesis",16038,11720
"51","Fetal B Cells",TRUE,4.86675360547945e-15,1683,344,93,0.270348837209302,0.0552584670231729,"GO:0034613","GO:BP","cellular protein localization",16038,10050
"52","Fetal B Cells",TRUE,7.21004358916359e-15,1693,344,93,0.270348837209302,0.0549320732427643,"GO:0070727","GO:BP","cellular macromolecule localization",16038,19186
"53","Fetal B Cells",TRUE,3.13542712445231e-14,1599,346,89,0.257225433526012,0.0556597873671044,"GO:1901566","GO:BP","organonitrogen compound biosynthetic process",16038,24866
"54","Fetal B Cells",TRUE,3.29207386304524e-14,2212,344,108,0.313953488372093,0.0488245931283906,"GO:0008104","GO:BP","protein localization",16038,3564
"55","Fetal B Cells",TRUE,6.12839697391643e-14,572,142,32,0.225352112676056,0.0559440559440559,"GO:0046649","GO:BP","lymphocyte activation",16038,14387
"56","Fetal B Cells",TRUE,1.64845764523762e-13,2076,357,105,0.294117647058824,0.0505780346820809,"GO:0010629","GO:BP","negative regulation of gene expression",16038,4815
"57","Fetal B Cells",TRUE,5.04909002461279e-13,2132,310,96,0.309677419354839,0.0450281425891182,"GO:0071702","GO:BP","organic substance transport",16038,19848
"58","Fetal B Cells",TRUE,6.39440826826715e-13,2475,344,113,0.328488372093023,0.0456565656565657,"GO:0051649","GO:BP","establishment of localization in cell",16038,16148
"59","Fetal B Cells",TRUE,2.00126773333266e-12,377,339,38,0.112094395280236,0.10079575596817,"GO:0022613","GO:BP","ribonucleoprotein complex biogenesis",16038,7661
"60","Fetal B Cells",TRUE,2.03220058165487e-12,252,130,21,0.161538461538462,0.0833333333333333,"GO:0042113","GO:BP","B cell activation",16038,11626
"61","Fetal B Cells",TRUE,4.62193947770212e-12,1898,345,94,0.272463768115942,0.0495258166491043,"GO:1901575","GO:BP","organic substance catabolic process",16038,24874
"62","Fetal B Cells",TRUE,6.22111188053905e-12,71,331,18,0.054380664652568,0.253521126760563,"GO:0042273","GO:BP","ribosomal large subunit biogenesis",16038,11733
"63","Fetal B Cells",TRUE,1.82659923003395e-11,59,304,16,0.0526315789473684,0.271186440677966,"GO:0042255","GO:BP","ribosome assembly",16038,11721
"64","Fetal B Cells",TRUE,5.13892052215591e-11,2039,345,96,0.278260869565217,0.0470819028935753,"GO:0044248","GO:BP","cellular catabolic process",16038,12796
"65","Fetal B Cells",TRUE,7.55947049300209e-11,303,101,19,0.188118811881188,0.0627062706270627,"GO:0050851","GO:BP","antigen receptor-mediated signaling pathway",16038,15507
"66","Fetal B Cells",TRUE,9.32355403951311e-11,2511,344,109,0.316860465116279,0.0434090003982477,"GO:0033036","GO:BP","macromolecule localization",16038,9271
"67","Fetal B Cells",TRUE,2.2968754542592e-10,408,71,18,0.253521126760563,0.0441176470588235,"GO:0051249","GO:BP","regulation of lymphocyte activation",16038,15844
"68","Fetal B Cells",TRUE,2.72317916006618e-10,4162,345,152,0.440579710144928,0.0365209034118212,"GO:0010468","GO:BP","regulation of gene expression",16038,4690
"69","Fetal B Cells",TRUE,3.09760067098568e-10,3813,345,143,0.414492753623188,0.037503278258589,"GO:0016070","GO:BP","RNA metabolic process",16038,5717
"70","Fetal B Cells",TRUE,3.20873619998237e-10,5454,345,183,0.530434782608696,0.0335533553355336,"GO:0060255","GO:BP","regulation of macromolecule metabolic process",16038,17183
"71","Fetal B Cells",TRUE,5.03096924527992e-10,190,339,25,0.0737463126843658,0.131578947368421,"GO:0006364","GO:BP","rRNA processing",16038,2395
"72","Fetal B Cells",TRUE,1.04332837421951e-09,482,85,20,0.235294117647059,0.04149377593361,"GO:0002694","GO:BP","regulation of leukocyte activation",16038,1363
"73","Fetal B Cells",TRUE,1.09322199544743e-09,4056,346,148,0.427745664739884,0.0364891518737673,"GO:0034645","GO:BP","cellular macromolecule biosynthetic process",16038,10073
"74","Fetal B Cells",TRUE,1.45639180282625e-09,199,339,25,0.0737463126843658,0.125628140703518,"GO:0016072","GO:BP","rRNA metabolic process",16038,5719
"75","Fetal B Cells",TRUE,1.53570793289515e-09,4152,346,150,0.433526011560694,0.0361271676300578,"GO:0009059","GO:BP","macromolecule biosynthetic process",16038,3697
"76","Fetal B Cells",TRUE,2.64637522875331e-09,129,101,13,0.128712871287129,0.10077519379845,"GO:0050853","GO:BP","B cell receptor signaling pathway",16038,15509
"77","Fetal B Cells",TRUE,2.82012886674104e-09,2642,357,112,0.313725490196078,0.0423921271763815,"GO:0010605","GO:BP","negative regulation of macromolecule metabolic process",16038,4792
"78","Fetal B Cells",TRUE,4.07017147912421e-09,519,85,20,0.235294117647059,0.0385356454720617,"GO:0050865","GO:BP","regulation of cell activation",16038,15521
"79","Fetal B Cells",TRUE,4.32146210574588e-09,203,101,15,0.148514851485149,0.0738916256157636,"GO:0046651","GO:BP","lymphocyte proliferation",16038,14388
"80","Fetal B Cells",TRUE,4.74192133776111e-09,3982,345,144,0.417391304347826,0.036162732295329,"GO:0044271","GO:BP","cellular nitrogen compound biosynthetic process",16038,12811
"81","Fetal B Cells",TRUE,5.03341184536129e-09,2303,345,99,0.28695652173913,0.0429874077290491,"GO:0009056","GO:BP","catabolic process",16038,3694
"82","Fetal B Cells",TRUE,5.34581114409098e-09,206,101,15,0.148514851485149,0.0728155339805825,"GO:0032943","GO:BP","mononuclear cell proliferation",16038,9202
"83","Fetal B Cells",TRUE,7.29269688717689e-09,3091,306,110,0.359477124183007,0.0355871886120996,"GO:0051641","GO:BP","cellular localization",16038,16140
"84","Fetal B Cells",TRUE,1.03403726181806e-08,453,101,20,0.198019801980198,0.0441501103752759,"GO:0002757","GO:BP","immune response-activating signal transduction",16038,1420
"85","Fetal B Cells",TRUE,1.03403726181806e-08,453,101,20,0.198019801980198,0.0441501103752759,"GO:0002429","GO:BP","immune response-activating cell surface receptor signaling pathway",16038,1099
"86","Fetal B Cells",TRUE,1.13614996760089e-08,1118,135,35,0.259259259259259,0.0313059033989267,"GO:0045321","GO:BP","leukocyte activation",16038,13330
"87","Fetal B Cells",TRUE,1.29030031535732e-08,5964,345,190,0.550724637681159,0.0318578135479544,"GO:0019222","GO:BP","regulation of metabolic process",16038,6529
"88","Fetal B Cells",TRUE,1.36916472161886e-08,2848,357,116,0.324929971988796,0.0407303370786517,"GO:0009892","GO:BP","negative regulation of metabolic process",16038,4253
"89","Fetal B Cells",TRUE,1.52809645572699e-08,5034,347,169,0.487031700288184,0.0335717123559793,"GO:0010467","GO:BP","gene expression",16038,4689
"90","Fetal B Cells",TRUE,1.72586861827852e-08,74,206,13,0.0631067961165049,0.175675675675676,"GO:0042100","GO:BP","B cell proliferation",16038,11618
"91","Fetal B Cells",TRUE,2.16510885738964e-08,227,101,15,0.148514851485149,0.066079295154185,"GO:0070661","GO:BP","leukocyte proliferation",16038,19152
"92","Fetal B Cells",TRUE,2.62233711031872e-08,535,101,21,0.207920792079208,0.0392523364485981,"GO:0002253","GO:BP","activation of immune response",16038,923
"93","Fetal B Cells",TRUE,3.04610020724118e-08,156,101,13,0.128712871287129,0.0833333333333333,"GO:0050864","GO:BP","regulation of B cell activation",16038,15520
"94","Fetal B Cells",TRUE,3.3029067834907e-08,483,101,20,0.198019801980198,0.041407867494824,"GO:0002768","GO:BP","immune response-regulating cell surface receptor signaling pathway",16038,1431
"95","Fetal B Cells",TRUE,3.55816005959669e-08,485,101,20,0.198019801980198,0.0412371134020619,"GO:0002764","GO:BP","immune response-regulating signaling pathway",16038,1427
"96","Fetal B Cells",TRUE,3.73109568980219e-08,956,138,32,0.231884057971014,0.0334728033472803,"GO:0002684","GO:BP","positive regulation of immune system process",16038,1353
"97","Fetal B Cells",TRUE,4.13672653102673e-08,682,109,24,0.220183486238532,0.0351906158357771,"GO:0050778","GO:BP","positive regulation of immune response",16038,15452
"98","Fetal B Cells",TRUE,6.06983096290217e-08,27,304,10,0.0328947368421053,0.37037037037037,"GO:0000027","GO:BP","ribosomal large subunit assembly",16038,14
"99","Fetal B Cells",TRUE,6.49571437798772e-08,295,71,14,0.197183098591549,0.0474576271186441,"GO:0051251","GO:BP","positive regulation of lymphocyte activation",16038,15846
"100","Fetal B Cells",TRUE,8.94027638315869e-08,334,77,15,0.194805194805195,0.0449101796407186,"GO:0002696","GO:BP","positive regulation of leukocyte activation",16038,1365
"101","Fetal B Cells",TRUE,1.06756863138097e-07,1876,25,17,0.68,0.00906183368869936,"GO:0006955","GO:BP","immune response",16038,2922
"102","Fetal B Cells",TRUE,1.52950319835035e-07,347,77,15,0.194805194805195,0.0432276657060519,"GO:0050867","GO:BP","positive regulation of cell activation",16038,15523
"103","Fetal B Cells",TRUE,1.66530336965358e-07,898,113,27,0.238938053097345,0.0300668151447661,"GO:0050776","GO:BP","regulation of immune response",16038,15450
"104","Fetal B Cells",TRUE,2.82690260615987e-07,1255,135,35,0.259259259259259,0.0278884462151394,"GO:0001775","GO:BP","cell activation",16038,567
"105","Fetal B Cells",TRUE,2.86630146606036e-07,2643,142,55,0.387323943661972,0.0208096859629209,"GO:0002376","GO:BP","immune system process",16038,1046
"106","Fetal B Cells",TRUE,2.9036722123667e-07,166,71,11,0.154929577464789,0.0662650602409639,"GO:0050670","GO:BP","regulation of lymphocyte proliferation",16038,15387
"107","Fetal B Cells",TRUE,3.30330055411001e-07,168,71,11,0.154929577464789,0.0654761904761905,"GO:0032944","GO:BP","regulation of mononuclear cell proliferation",16038,9203
"108","Fetal B Cells",TRUE,3.34069009296395e-07,4245,345,145,0.420289855072464,0.0341578327444052,"GO:0090304","GO:BP","nucleic acid metabolic process",16038,21522
"109","Fetal B Cells",TRUE,4.54981208127271e-07,4,65,4,0.0615384615384615,1,"GO:0002503","GO:BP","peptide antigen assembly with MHC class II protein complex",16038,1173
"110","Fetal B Cells",TRUE,4.54981208127271e-07,4,65,4,0.0615384615384615,1,"GO:0002399","GO:BP","MHC class II protein complex assembly",16038,1069
"111","Fetal B Cells",TRUE,4.95724422942361e-07,46,206,10,0.0485436893203883,0.217391304347826,"GO:0030888","GO:BP","regulation of B cell proliferation",16038,8103
"112","Fetal B Cells",TRUE,8.75803437036333e-07,184,71,11,0.154929577464789,0.0597826086956522,"GO:0070663","GO:BP","regulation of leukocyte proliferation",16038,19154
"113","Fetal B Cells",TRUE,1.23240435420834e-06,64,339,13,0.0383480825958702,0.203125,"GO:0042274","GO:BP","ribosomal small subunit biogenesis",16038,11734
"114","Fetal B Cells",TRUE,1.57547674174091e-06,1399,142,37,0.26056338028169,0.0264474624731951,"GO:0002682","GO:BP","regulation of immune system process",16038,1351
"115","Fetal B Cells",TRUE,1.89779560461965e-06,176,304,19,0.0625,0.107954545454545,"GO:0022618","GO:BP","ribonucleoprotein complex assembly",16038,7666
"116","Fetal B Cells",TRUE,3.6772138808156e-06,183,304,19,0.0625,0.103825136612022,"GO:0071826","GO:BP","ribonucleoprotein complex subunit organization",16038,19913
"117","Fetal B Cells",TRUE,4.06774918477986e-06,273,15,7,0.466666666666667,0.0256410256410256,"GO:0002460","GO:BP","adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains",16038,1130
"118","Fetal B Cells",TRUE,4.24400331183093e-06,125,17,6,0.352941176470588,0.048,"GO:0050871","GO:BP","positive regulation of B cell activation",16038,15527
"119","Fetal B Cells",TRUE,6.78324039574256e-06,6,65,4,0.0615384615384615,0.666666666666667,"GO:0002501","GO:BP","peptide antigen assembly with MHC protein complex",16038,1171
"120","Fetal B Cells",TRUE,6.92103830342807e-06,320,21,8,0.380952380952381,0.025,"GO:0002250","GO:BP","adaptive immune response",16038,920
"121","Fetal B Cells",TRUE,8.57443714911649e-06,350,355,28,0.0788732394366197,0.08,"GO:0034470","GO:BP","ncRNA processing",16038,10005
"122","Fetal B Cells",TRUE,9.99072659021405e-06,167,15,6,0.4,0.0359281437125748,"GO:0016064","GO:BP","immunoglobulin mediated immune response",16038,5714
"123","Fetal B Cells",TRUE,1.15176931844453e-05,171,15,6,0.4,0.0350877192982456,"GO:0019724","GO:BP","B cell mediated immunity",16038,6989
"124","Fetal B Cells",TRUE,1.52717201301415e-05,354,21,8,0.380952380952381,0.0225988700564972,"GO:0006959","GO:BP","humoral immune response",16038,2926
"125","Fetal B Cells",TRUE,1.57793964840541e-05,7,65,4,0.0615384615384615,0.571428571428571,"GO:0002396","GO:BP","MHC protein complex assembly",16038,1066
"126","Fetal B Cells",TRUE,1.62309632112295e-05,5133,346,161,0.465317919075145,0.0313656730956556,"GO:1901576","GO:BP","organic substance biosynthetic process",16038,24875
"127","Fetal B Cells",TRUE,1.97218120193724e-05,4581,350,149,0.425714285714286,0.0325256494215237,"GO:0044267","GO:BP","cellular protein metabolic process",16038,12808
"128","Fetal B Cells",TRUE,2.06676801650156e-05,26,101,6,0.0594059405940594,0.230769230769231,"GO:0050855","GO:BP","regulation of B cell receptor signaling pathway",16038,15511
"129","Fetal B Cells",TRUE,3.0125268134089e-05,4405,341,141,0.413489736070381,0.0320090805902384,"GO:0006810","GO:BP","transport",16038,2800
"130","Fetal B Cells",TRUE,4.07110352290678e-05,5195,346,161,0.465317919075145,0.0309913378248316,"GO:0009058","GO:BP","biosynthetic process",16038,3696
"131","Fetal B Cells",TRUE,5.58936003433946e-05,5046,346,157,0.453757225433526,0.0311137534680935,"GO:0044249","GO:BP","cellular biosynthetic process",16038,12797
"132","Fetal B Cells",TRUE,6.37659918321259e-05,117,206,12,0.058252427184466,0.102564102564103,"GO:0070665","GO:BP","positive regulation of leukocyte proliferation",16038,19156
"133","Fetal B Cells",TRUE,8.69234850510935e-05,356,71,12,0.169014084507042,0.0337078651685393,"GO:0042110","GO:BP","T cell activation",16038,11625
"134","Fetal B Cells",TRUE,8.84181610239863e-05,4520,312,132,0.423076923076923,0.0292035398230088,"GO:0051234","GO:BP","establishment of localization",16038,15832
"135","Fetal B Cells",TRUE,0.000106173296928645,56,101,7,0.0693069306930693,0.125,"GO:0050854","GO:BP","regulation of antigen receptor-mediated signaling pathway",16038,15510
"136","Fetal B Cells",TRUE,0.000109372138303546,725,25,10,0.4,0.0137931034482759,"GO:0045087","GO:BP","innate immune response",16038,13230
"137","Fetal B Cells",TRUE,0.000138190584001674,81,9,4,0.444444444444444,0.0493827160493827,"GO:0006910","GO:BP","phagocytosis, recognition",16038,2884
"138","Fetal B Cells",TRUE,0.000138645737846798,125,15,5,0.333333333333333,0.04,"GO:0002455","GO:BP","humoral immune response mediated by circulating immunoglobulin",16038,1125
"139","Fetal B Cells",TRUE,0.000160880700675209,4971,350,155,0.442857142857143,0.0311808489237578,"GO:0019538","GO:BP","protein metabolic process",16038,6824
"140","Fetal B Cells",TRUE,0.000175471221121776,95,20,5,0.25,0.0526315789473684,"GO:0019886","GO:BP","antigen processing and presentation of exogenous peptide antigen via MHC class II",16038,7054
"141","Fetal B Cells",TRUE,0.000193261306706374,105,206,11,0.0533980582524272,0.104761904761905,"GO:0050671","GO:BP","positive regulation of lymphocyte proliferation",16038,15388
"142","Fetal B Cells",TRUE,0.000200185298507137,276,15,6,0.4,0.0217391304347826,"GO:0002449","GO:BP","lymphocyte mediated immunity",16038,1119
"143","Fetal B Cells",TRUE,0.000213240229114339,106,206,11,0.0533980582524272,0.10377358490566,"GO:0032946","GO:BP","positive regulation of mononuclear cell proliferation",16038,9205
"144","Fetal B Cells",TRUE,0.0002159291954336,99,20,5,0.25,0.0505050505050505,"GO:0002495","GO:BP","antigen processing and presentation of peptide antigen via MHC class II",16038,1165
"145","Fetal B Cells",TRUE,0.000227116166061954,100,20,5,0.25,0.05,"GO:0002504","GO:BP","antigen processing and presentation of peptide or polysaccharide antigen via MHC class II",16038,1174
"146","Fetal B Cells",TRUE,0.000369068629754197,4727,345,146,0.423188405797101,0.0308863972921515,"GO:0048519","GO:BP","negative regulation of biological process",16038,14969
"147","Fetal B Cells",TRUE,0.000373046298701927,303,77,11,0.142857142857143,0.0363036303630363,"GO:0007159","GO:BP","leukocyte cell-cell adhesion",16038,3094
"148","Fetal B Cells",TRUE,0.000386345294160343,4688,345,145,0.420289855072464,0.0309300341296928,"GO:0006139","GO:BP","nucleobase-containing compound metabolic process",16038,2192
"149","Fetal B Cells",TRUE,0.000399262471281992,371,109,14,0.128440366972477,0.0377358490566038,"GO:0002697","GO:BP","regulation of immune effector process",16038,1366
"150","Fetal B Cells",TRUE,0.000399628232579674,366,164,17,0.103658536585366,0.046448087431694,"GO:0002521","GO:BP","leukocyte differentiation",16038,1190
"151","Fetal B Cells",TRUE,0.000593357304047229,191,77,9,0.116883116883117,0.0471204188481675,"GO:1903039","GO:BP","positive regulation of leukocyte cell-cell adhesion",16038,26175
"152","Fetal B Cells",TRUE,0.000626946244440698,24,325,7,0.0215384615384615,0.291666666666667,"GO:0036336","GO:BP","dendritic cell migration",16038,11098
"153","Fetal B Cells",TRUE,0.000675670561200519,120,9,4,0.444444444444444,0.0333333333333333,"GO:0006911","GO:BP","phagocytosis, engulfment",16038,2885
"154","Fetal B Cells",TRUE,0.000675670561200519,120,9,4,0.444444444444444,0.0333333333333333,"GO:0006958","GO:BP","complement activation, classical pathway",16038,2925
"155","Fetal B Cells",TRUE,0.000758354310591216,641,135,20,0.148148148148148,0.031201248049922,"GO:0030097","GO:BP","hemopoiesis",16038,7760
"156","Fetal B Cells",TRUE,0.000789956768475077,18,281,6,0.0213523131672598,0.333333333333333,"GO:0000028","GO:BP","ribosomal small subunit assembly",16038,15
"157","Fetal B Cells",TRUE,0.00087571339600646,128,9,4,0.444444444444444,0.03125,"GO:0099024","GO:BP","plasma membrane invagination",16038,22436
"158","Fetal B Cells",TRUE,0.000912508151070007,910,25,10,0.4,0.010989010989011,"GO:0098542","GO:BP","defense response to other organism",16038,22200
"159","Fetal B Cells",TRUE,0.000930570181484168,2118,25,14,0.56,0.00661000944287063,"GO:0048584","GO:BP","positive regulation of response to stimulus",16038,15024
"160","Fetal B Cells",TRUE,0.00104978317847556,4846,345,147,0.426086956521739,0.0303342963268675,"GO:0046483","GO:BP","heterocycle metabolic process",16038,14282
"161","Fetal B Cells",TRUE,0.00105273460371424,267,77,10,0.12987012987013,0.0374531835205993,"GO:1903037","GO:BP","regulation of leukocyte cell-cell adhesion",16038,26173
"162","Fetal B Cells",TRUE,0.00106969531374669,136,370,15,0.0405405405405405,0.110294117647059,"GO:0002285","GO:BP","lymphocyte activation involved in immune response",16038,955
"163","Fetal B Cells",TRUE,0.00107141807195733,440,355,28,0.0788732394366197,0.0636363636363636,"GO:0034660","GO:BP","ncRNA metabolic process",16038,10082
"164","Fetal B Cells",TRUE,0.00108434970664131,135,9,4,0.444444444444444,0.0296296296296296,"GO:0010324","GO:BP","membrane invagination",16038,4582
"165","Fetal B Cells",TRUE,0.00109132175441197,656,135,20,0.148148148148148,0.0304878048780488,"GO:0048534","GO:BP","hematopoietic or lymphoid organ development",16038,14982
"166","Fetal B Cells",TRUE,0.00164845998517884,172,71,8,0.112676056338028,0.0465116279069767,"GO:0050870","GO:BP","positive regulation of T cell activation",16038,15526
"167","Fetal B Cells",TRUE,0.00208610637717712,697,220,27,0.122727272727273,0.0387374461979914,"GO:0002520","GO:BP","immune system development",16038,1189
"168","Fetal B Cells",TRUE,0.00249034826840498,5874,312,155,0.496794871794872,0.0263874702076949,"GO:0051179","GO:BP","localization",16038,15788
"169","Fetal B Cells",TRUE,0.00252120500142514,227,77,9,0.116883116883117,0.039647577092511,"GO:0022409","GO:BP","positive regulation of cell-cell adhesion",16038,7640
